,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
329,100090,KR7100090000,SK오션플랜트,KOSPI,,13310,1,200,1.53,13110,13940,13100,353496,4808262940,787893010080,59195568,STK
330,281820,KR7281820001,케이씨텍,KOSPI,,37750,1,900,2.44,36300,37850,36150,68573,2552382200,787523739000,20861556,STK
331,025320,KR7025320003,시노펙스,KOSDAQ,중견기업부,9380,1,620,7.08,8760,9480,8740,3169413,29252712180,786212239680,83817936,KSQ
332,003540,KR7003540002,대신증권,KOSPI,,15480,2,-220,-1.4,15710,15730,15400,53167,824094240,785972232000,50773400,STK
333,032350,KR7032350001,롯데관광개발,KOSPI,,10220,1,240,2.4,10050,10270,10050,675393,6874359380,778619581180,76185869,STK
334,064550,KR7064550007,바이오니아,KOSDAQ,우량기업부,30050,2,-350,-1.15,31600,31650,29850,247503,7585685000,775599244550,25810291,KSQ
335,330590,KR7330590001,롯데리츠,KOSPI,,3190,1,15,0.47,3195,3205,3150,143189,454258460,775070739960,242968884,STK
336,009900,KR7009900002,명신산업,KOSPI,,14770,1,10,0.07,14590,14880,14590,83476,1230615120,774983864410,52470133,STK
337,418550,KR7418550000,제이오,KOSDAQ,기술성장기업부,24350,2,-900,-3.56,25050,25450,24300,136025,3353417550,773654847550,31772273,KSQ
338,003850,KR7003850005,보령,KOSPI,,11230,1,80,0.72,11120,11450,11120,143376,1623555130,771388700000,68690000,STK
339,278280,KR7278280003,천보,KOSDAQ GLOBAL,우량기업부,77000,2,-700,-0.9,77700,78700,76400,15385,1190918900,770000000000,10000000,KSQ
